timestamp,symbol,timeframe,status,rows,error
2026-08-06T23:51:36.221336,NIFTY 50,MINUTE_5,SKIPPED,0,""
2026-08-06T23:52:34.808109,NIFTY NEXT 50,MINUTE_5,SUCCESS,182328,""
2026-08-06T23:53:16.967080,NIFTY 100,MINUTE_5,SUCCESS,213978,""
2026-08-06T23:53:59.817626,NIFTY 200,MINUTE_5,SUCCESS,213979,""
2026-08-06T23:54:32.204934,NIFTY 500,MINUTE_5,SUCCESS,131526,""
2026-08-06T23:54:58.675173,NIFTY TOTAL MKT,MINUTE_5,SUCCESS,72915,""
2026-08-06T23:54:58.739438,NIFTY BANK,MINUTE_5,SKIPPED,0,""
2026-08-06T23:54:58.739438,INDIA VIX,MINUTE_5,SKIPPED,0,""
2026-08-06T23:54:58.739438,NIFTY IT,MINUTE_5,SKIPPED,0,""
2026-08-06T23:54:58.756354,NIFTY METAL,MINUTE_5,SKIPPED,0,""
2026-08-06T23:54:58.766763,NIFTY AUTO,MINUTE_5,SKIPPED,0,""
2026-08-06T23:55:46.168766,NIFTY PHARMA,MINUTE_5,SUCCESS,213993,""
2026-08-06T23:56:32.995007,NIFTY FMCG,MINUTE_5,SUCCESS,213978,""
2026-08-06T23:57:21.997473,NIFTY ENERGY,MINUTE_5,SUCCESS,213979,""
2026-08-06T23:57:44.796311,NIFTY OIL AND GAS,MINUTE_5,SUCCESS,72915,""
2026-08-06T23:58:31.344165,NIFTY REALTY,MINUTE_5,SUCCESS,213979,""
2026-08-06T23:59:15.864673,NIFTY INFRA,MINUTE_5,SUCCESS,213994,""
2026-08-06T23:59:47.457340,NIFTY HEALTHCARE,MINUTE_5,SUCCESS,72915,""
2026-08-07T00:00:28.055073,NIFTY CONSUMPTION,MINUTE_5,SUCCESS,156866,""
2026-08-07T00:01:10.453101,NIFTY COMMODITIES,MINUTE_5,SUCCESS,201676,""
2026-08-07T00:01:54.052911,NIFTY SERV SECTOR,MINUTE_5,SUCCESS,213903,""
2026-08-07T00:01:54.128622,NIFTY 50,DAILY,SKIPPED,0,""
2026-08-07T00:02:18.098042,NIFTY NEXT 50,DAILY,SUCCESS,6612,""
2026-08-07T00:02:40.840321,NIFTY 100,DAILY,FAILED,0,"Invalid candles found (High < Low)."
2026-08-07T00:02:59.914062,NIFTY 200,DAILY,SUCCESS,7282,""
2026-08-07T00:03:18.892950,NIFTY 500,DAILY,SUCCESS,6611,""
2026-08-07T00:03:45.456609,NIFTY TOTAL MKT,DAILY,SUCCESS,5282,""
2026-08-07T00:03:45.513686,NIFTY BANK,DAILY,SKIPPED,0,""
2026-08-07T00:03:45.521691,INDIA VIX,DAILY,SKIPPED,0,""
2026-08-07T00:03:45.530581,NIFTY IT,DAILY,SKIPPED,0,""
2026-08-07T00:03:45.544976,NIFTY METAL,DAILY,SKIPPED,0,""
2026-08-07T00:03:45.548625,NIFTY AUTO,DAILY,SKIPPED,0,""
2026-08-07T00:04:04.684895,NIFTY PHARMA,DAILY,SUCCESS,6365,""
2026-08-07T00:04:21.914352,NIFTY FMCG,DAILY,SUCCESS,6615,""
2026-08-07T00:04:42.028416,NIFTY ENERGY,DAILY,SUCCESS,6365,""
2026-08-07T00:05:04.210525,NIFTY OIL AND GAS,DAILY,SUCCESS,5282,""
