Metric,Value
Total Samples,399.0
Average Return %,0.0026879163094243523
Median Return %,-0.0103413284728995
Std Dev Return %,0.23160476538983854
Largest Gain %,0.9795931909563922
Largest Loss %,-0.9941301928591928
Average Trading Range,83.27343358396003
Median Trading Range,75.39999999999782
Average Body %,46.39761962109478
Average Upper Wick %,24.26723327943461
Average Lower Wick %,29.335147099470593
Average Close Position %,52.66244078942379
Average Up Move,40.16528822055141
Average Down Move,43.10814536340862
Win Rate %,48.62155388471178
High Volatility %,50.125313283208015
Low Volatility %,49.87468671679198
