moon_nakshatra,samples,avg_return_pct,median_return_pct,std_return_pct,max_gain_pct,max_loss_pct,win_rate,positive_count,negative_count,average_trading_range,average_body_pct,average_upper_wick_pct,average_lower_wick_pct,average_close_position_pct,average_up_move,average_down_move,high_volatility_pct,low_volatility_pct
KRITTIKA,2,0.03895309235243285,0.03895309235243285,0.03580991283892185,0.0642745245545337,0.013631660150332,100.0,2,0,39.275000000001455,21.13704810588942,37.66947832407942,41.19347357003116,62.33052167592058,23.975000000002183,15.299999999999272,0.0,100.0
MAGHA,12,0.10077454665925083,0.0852458114057371,0.1482842813466642,0.37944097216467,-0.1258055881565642,83.33333333333334,10,2,68.92499999999957,45.689773985046806,18.241886375657554,36.06833963929564,72.66672082163637,40.50833333333352,28.41666666666606,33.33333333333333,66.66666666666666
PURVA_PHALGUNI,7,0.10162701774191343,0.0347787695396229,0.14984627542396678,0.3093949817592386,-0.0732837141518702,71.42857142857143,5,2,88.74285714285672,34.27062773138905,35.703890123818574,30.02548214479238,59.35393289122867,65.91428571428489,22.828571428571845,57.14285714285714,42.857142857142854
BHARANI,13,0.10230872011907341,0.0733680264207563,0.29154018685227484,0.8191837312082947,-0.2529215323239339,69.23076923076923,9,4,74.53846153846126,60.67617155341646,19.96987596601787,19.353952480565678,61.161916979220024,48.71923076923094,25.819230769230323,38.46153846153847,61.53846153846154
ROHINI,3,0.07452391521131453,0.2389493927861607,0.4785929767778831,0.4492295872636476,-0.4646072344158647,66.66666666666666,2,1,142.4333333333343,63.091446981627826,11.537786691917711,25.370766326454458,60.81746479674242,70.89999999999903,71.53333333333528,100.0,0.0
UTTARA_ASHADHA,22,0.048527231214046666,0.05314546904208935,0.15342656534032348,0.2780474058302222,-0.1652892561983471,63.63636363636363,14,8,77.0363636363636,43.98624376061728,28.181118512849785,27.832637726532948,54.354142048143736,44.10227272727306,32.93409090909054,40.909090909090914,59.09090909090909
UTTARA_PHALGUNI,16,0.028950363478075693,0.0776314149361863,0.15501914589743993,0.2737102551638758,-0.2283441520024744,62.5,10,6,76.43125000000055,41.52294511059422,17.831985652236483,40.6450692371693,67.30561042576284,33.30625000000009,43.125000000000455,43.75,56.25
ASHLESHA,20,0.021754418646329154,0.03179874759300775,0.16821219745550262,0.2847341917604423,-0.3414984742898933,60.0,12,8,62.8600000000004,50.19830078120826,26.37750611358109,23.42419310521065,51.42690464167748,34.54000000000015,28.320000000000256,25.0,75.0
ASHWINI,20,0.002212176959248738,0.0484728173037749,0.25838907202042466,0.5104695358550952,-0.4443317039091565,55.00000000000001,11,9,101.62249999999968,47.10221098162174,22.079476330566383,30.81831268781189,57.292714836018675,45.929999999999744,55.692499999999924,75.0,25.0
PUNARVASU,19,0.0369769318597521,0.0127107333669461,0.13433090007853404,0.3611915060365532,-0.1935601781086021,52.63157894736842,10,9,66.83421052631628,37.50850590656091,27.40723427891852,35.08425981452057,56.67254357754793,34.47105263157918,32.36315789473711,31.57894736842105,68.42105263157895
