moon_sign,samples,avg_return_pct,median_return_pct,std_return_pct,max_gain_pct,max_loss_pct,win_rate,positive_count,negative_count,average_trading_range,average_body_pct,average_upper_wick_pct,average_lower_wick_pct,average_close_position_pct,average_up_move,average_down_move,high_volatility_pct,low_volatility_pct
LEO,20,0.10467026778830694,0.0852458114057371,0.14169498179884368,0.37944097216467,-0.1258055881565642,80.0,16,4,75.7274999999996,42.529338813995274,24.00753110458009,33.46313008142464,68.8078712690628,49.81749999999975,25.909999999999854,40.0,60.0
ARIES,35,0.041490373869651286,0.0642745245545337,0.2639472759005059,0.8191837312082947,-0.4443317039091565,62.857142857142854,22,13,87.99999999999979,50.66024417253222,22.186767737649106,27.152988089818685,59.01772173720214,45.71142857142861,42.28857142857118,57.14285714285714,42.857142857142854
TAURUS,8,0.06645409545606598,0.13662417215120495,0.2893246965498746,0.4492295872636476,-0.4646072344158647,62.5,5,3,113.28750000000127,48.94784134785318,20.11575678508307,30.936401867063747,59.749124912693354,57.76250000000027,55.525000000001,87.5,12.5
GEMINI,41,0.023695008510604233,0.0092961953771053,0.15043665531538225,0.3611915060365532,-0.2879673932305511,51.21951219512195,21,20,68.37195121951228,37.360472201795815,26.8903917641198,35.74913603408437,57.26008710014689,34.3109756097561,34.060975609756184,34.146341463414636,65.85365853658537
SAGITTARIUS,49,0.028700671777550334,0.0122802051418554,0.30160076586911133,0.9795931909563922,-0.6605761888810984,51.02040816326531,25,24,97.7316326530612,51.718776389584065,26.32161097801718,21.95961263239876,49.91587673472299,55.11734693877558,42.61428571428561,57.14285714285714,42.857142857142854
LIBRA,23,-0.026254103673745453,-0.0097889339226223,0.2598960474904509,0.318386617707742,-0.79404664945144,47.82608695652174,11,12,88.86739130434786,42.51535728443902,28.318373972478845,29.16626874308213,50.58461599638991,41.026086956521674,47.84130434782618,60.86956521739131,39.130434782608695
CANCER,44,-0.007045814118861502,-0.02175665299990675,0.18636854774320422,0.4552465451707183,-0.5052500087896603,45.45454545454545,20,24,70.07727272727342,44.99576546599568,27.659176348344808,27.345058185659504,48.59341152920545,33.60795454545446,36.469318181818956,31.818181818181817,68.18181818181817
VIRGO,53,-0.01610860367246789,-0.0241800160505248,0.21563236667675573,0.7286303368384759,-0.3835890247922918,43.39622641509434,23,30,76.82452830188716,48.43761719827985,19.170554443582414,32.39182835813774,53.121514505862415,31.81415094339632,45.01037735849083,37.735849056603776,62.264150943396224
CAPRICORN,37,-0.006855821957532836,-0.036654174045556,0.1633247179414589,0.260574677294681,-0.4179062492008391,43.24324324324324,16,21,75.30270270270253,41.663624213522134,27.151758828033543,31.18461695844432,49.60076745428409,35.997297297297436,39.30540540540509,45.94594594594595,54.054054054054056
PISCES,47,-0.019382134631818322,-0.0336243854389136,0.26075030801934934,0.5902964444095079,-0.9941301928591928,42.5531914893617,20,27,89.77765957446815,47.929424097290585,22.34358920106192,29.72698670164749,51.47043429179006,38.93723404255302,50.84042553191512,55.319148936170215,44.680851063829785
SCORPIO,19,-0.05292807124548493,-0.0532241205729425,0.2752138574598437,0.6896322446189391,-0.561929918692482,36.84210526315789,7,12,105.5921052631577,42.64713931942509,29.052770475691478,28.300090204883443,43.60246961714392,46.90263157894725,58.68947368421045,78.94736842105263,21.052631578947366
AQUARIUS,23,-0.06281198127268023,-0.1277382123134418,0.24517241984334998,0.3635388357956891,-0.4934505278336847,34.78260869565217,8,15,83.56956521739171,56.607803793713956,16.59197290101434,26.800223305271707,47.79214713594216,30.369565217391937,53.199999999999775,73.91304347826086,26.08695652173913
